GPU,Mean,StdDev,Samples...
GeForce GTX 1080,856.597626827497,81.4784187329059,1078.95671368387,902.415230417856,857.706135048718,854.959879139433,836.652856750244,836.609778040363,820.733482571396,810.238839780733,787.313709388813,780.38964345355
GeForce GTX 470,378.039053593014,17.8365617143557,419.18599303807,393.622572458571,385.241625165431,383.377087275886,377.830783056851,374.136536391537,368.047194651382,363.875796669004,359.624694194875,355.448253028537
GeForce GTX 570,449.482911453356,38.5828418934662,511.882643555249,500.541410321816,469.216609042087,462.188376643487,458.092124000043,448.884144037853,434.200732375988,430.135772242093,394.247953205868,385.439349109077
GeForce GTX 580,403.795090588962,142.303630209823,573.115939440792,542.316278914288,524.535997274732,501.257920727781,490.635991121735,445.573767813231,340.848543257166,225.845252594125,201.940572656181,191.88064208959
GeForce GTX 650 Ti,228.491052802177,48.9252345119936,305.8544894152,266.183699167299,261.352727887671,241.515188902096,236.961431410111,229.432591438917,215.474848772381,214.078496308842,205.079899605066,108.977155114189
GeForce GTX 670,462.862913776843,24.7194468912164,519.273476530788,481.905678976983,472.713934844813,463.35586481995,462.389493009462,458.873545760503,456.299080231823,454.742534561472,437.352866316896,421.722662715741
GeForce GTX 680,551.745743816483,40.0510923181496,632.734662893795,599.681240541664,566.678269967133,563.375124239307,560.215515063798,548.334884231482,522.472853490936,516.781291411722,507.146322093198,500.037274231796
GeForce GTX 760,389.330518625697,26.7840134744801,448.553585488163,408.482491979775,405.449012965535,402.852377030414,391.436626073286,378.558353632522,373.39663011266,371.522620245703,359.111028106225,353.942460622688
GeForce GTX 770,527.795599752335,29.2755653297834,601.998680785571,551.291685104712,534.763180857939,529.660300977452,524.385979365978,520.155249958686,510.925719919613,507.090061930686,499.357910613534,498.32722800918
GeForce GTX 780,611.583773765253,110.329211119358,896.468706863288,681.323592608509,647.9580762914,621.300910305679,586.144873940602,584.412995719296,560.578300760544,536.508376418656,503.19895565187,497.942949092691
GeForce GTX 780 Ti,630.192526113396,80.1673628742236,731.274380047261,729.643030865874,690.423716799145,677.551473414155,671.225864658828,630.216071326319,604.952865831338,545.620123637385,519.669294878472,501.348439675183
GeForce GTX 950,336.188695588678,61.3296389697745,420.693437979138,399.973146608506,380.559620016658,361.163155060141,349.181632220427,339.220153477599,316.90656963827,309.005559066558,292.600660529829,192.583021289657
GeForce GTX 970,577.088352548806,52.1188122875428,679.949776201344,618.67282202072,614.759346372372,603.722817118393,591.332107651385,568.988719213213,542.233800578469,534.129438012754,509.229934340792,507.86476397862
GeForce GTX 980,674.306310105046,67.4857360076329,808.492447010371,747.009042387337,739.013394921766,698.048037807285,653.202740368335,646.800415555367,632.599823601654,625.025372672755,597.737544532795,595.134282192792
GeForce GTX 980 Ti,690.120045809547,53.8716651449454,816.005274369134,730.962435915408,722.521915352135,699.299949189861,680.516633810905,679.664375593609,666.110323566903,647.319610696777,643.336860577995,615.463079022746
GeForce GTX TITAN X,801.267445974645,98.0839913662178,972.965391153567,908.645166486499,896.906390198712,839.134802383803,811.790670516745,782.105576054866,733.841601452276,724.020547736535,674.074530893467,669.189782869978
